;Var.1;LastN;Vorname;Titel;Funktion;Fakultät;Lehrveranstaltungen;Var.8;name_ganz
437;NA;Kiening;Christian;Dr.;Ord. Professor für Deutsche Literaturwissenschaft (von den Anfängen bis 1700);PHF;Link;NA;Kiening, Christian
438;NA;Kilminster;Benjamin John;Dr.;Ord. Professor für Experimentelle Teilchenphysik;MNF;Link;NA;Kilminster, Benjamin John
439;NA;Kipar;Anja;Dr.;Ord. Professorin für Veterinärpathologie;VSF;Link;NA;Kipar, Anja
440;NA;Kleim;Birgit;Dr.;Ord. Professorin für Experimentelle Psychopathologie und Psychotherapie;PHF;Link;NA;Kleim, Birgit
441;NA;Kleinmann;Martin;Dr.;Ord. Professor für Arbeits- und Organisationspsychologie;PHF;Link;NA;Kleinmann, Martin
442;NA;Kley;Andreas;Dr. rer. publ.;Ord. Professor für Öffentliches Recht, Verfassungsgeschichte, Rechts- und Staatsphilosophie;RWF;Link;NA;Kley, Andreas
443;NA;Klinkert;Thomas;Dr.;Ord. Professor für Französische Literaturwissenschaft (1500 bis Gegenwart);PHF;Link;NA;Klinkert, Thomas
444;NA;Köbele;Susanne;Dr.;Ord. Professorin für Ältere Deutsche Literaturwissenschaft;PHF;Link;NA;Köbele, Susanne
445;NA;Kohler;Malcolm;Dr. med.;Ord. Professor für Pneumologie;MEF;Link;NA;Kohler, Malcolm
446;NA;Kokko;Hanna;Dr.;Ord. Professorin für Evolutionäre Ökologie;MNF;Link;NA;Kokko, Hanna
447;NA;Kolb;Anne;Dr.;Ord. Professorin für Alte Geschichte;PHF;Link;NA;Kolb, Anne
448;NA;König;Barbara;Dr. rer. nat.;Ord. Professorin für Zoologie, speziell Verhaltensbiologie;MNF;Link;NA;König, Barbara
449;NA;Korf;Benedikt;Dr.;Ord. Professor für Politische Geographie;MNF;Link;NA;Korf, Benedikt
450;NA;Krauthammer;Michael;Dr.;Ord. Professor für Medizininformatik;MEF;Link;NA;Krauthammer, Michael
451;NA;Kresch;Andrew;Dr.;Ord. Professor für Reine Mathematik;MNF;Link;NA;Kresch, Andrew
452;NA;Kretschmar;Oliver;Dr. med.;Ord. Professor für Pädiatrische Kardiologie;MEF;Link;NA;Kretschmar, Oliver
453;NA;Krüger;Thomas;Dr.;Ord. Professor für Alttestamentliche Wissenschaft und altorientalische Religionsgeschichte;THF;Link;NA;Krüger, Thomas
454;NA;Krüger;Gesine;Dr. phil.;Ord. Professorin für Allgemeine Geschichte der Neuzeit;PHF;Link;NA;Krüger, Gesine
